,# Nodes,# Cambios,Tiempo,Iteraciones
228,380,70,85.21328973770142,13778
229,400,70,100.32803201675415,15616
230,420,70,113.64476537704468,18752
231,440,70,127.83435797691345,17023
232,460,70,145.05997133255005,17194
233,480,70,164.52650547027588,19232
234,500,70,183.12416434288025,20861
235,520,70,207.05048370361328,22364
236,540,70,228.64584183692932,22856
237,560,70,255.4390833377838,22236
238,580,70,283.2146580219269,25075
239,600,70,311.59997963905334,27771
240,620,70,340.090402841568,25574
241,640,70,373.11450839042664,25241
242,660,70,406.0177438259125,28868
243,680,70,446.5470917224884,28643
244,700,70,483.5565969944,31378
245,20,80,0.13030147552490234,1003
246,40,80,0.43838977813720703,2066
247,60,80,1.0146210193634033,2794
248,80,80,1.9184925556182861,3991
249,100,80,3.219085931777954,4455
250,120,80,4.7371838092803955,5567
251,140,80,6.704035758972168,6195
252,160,80,9.615753412246704,6754
253,180,80,12.84658670425415,9269
254,200,80,17.358051776885986,8793
255,220,80,22.32497215270996,9596
256,240,80,27.62024211883545,10422
257,260,80,34.64523100852966,11061
258,280,80,41.742926359176636,13198
259,300,80,50.10920858383179,12866
260,320,80,60.419395446777344,14038
261,340,80,71.75508975982666,14244
262,360,80,83.42801284790039,17200
263,380,80,96.68960785865784,17319
264,400,80,112.7166543006897,18613
265,420,80,127.8470549583435,17981
266,440,80,146.98796892166138,20367
267,460,80,167.54680490493774,18131
268,480,80,191.05043268203735,21114
269,500,80,210.41579270362854,22800
270,520,80,231.69339799880981,22765
271,540,80,257.7727084159851,23802
272,560,80,285.27057433128357,27437
273,580,80,319.56058406829834,25179
274,600,80,352.5718080997467,26332
275,620,80,391.5588185787201,26460
276,640,80,426.1922106742859,27323
277,660,80,459.4262492656708,27635
278,680,80,503.4349174499512,31500
279,700,80,550.7948791980743,35282
280,20,90,0.1628403663635254,1141
281,40,90,0.504319429397583,2021
282,60,90,1.1359102725982666,3040
283,80,90,2.128796100616455,4232
284,100,90,3.4907710552215576,4571
285,120,90,5.284019470214844,5684
286,140,90,7.521902084350586,6671
287,160,90,10.673556327819824,7112
288,180,90,14.496422052383423,9339
289,200,90,19.364148378372192,9953
290,220,90,24.54067611694336,11258
291,240,90,30.930317401885986,12533
292,260,90,38.36968398094177,14229
293,280,90,47.820926666259766,12336
294,300,90,56.708552837371826,17074
295,320,90,67.51779389381409,16196
296,340,90,79.39272475242615,15692
297,360,90,94.52712178230286,19212
298,380,90,107.84228754043579,18850
299,400,90,126.97813606262207,21759
300,420,90,143.71342182159424,20678
301,440,90,161.03726172447205,19029
302,460,90,185.01633381843567,24164
303,480,90,209.3004710674286,25023
304,500,90,234.99162316322327,23967
305,520,90,261.28603196144104,24506
306,540,90,291.8274965286255,27894
307,560,90,325.06525921821594,28022
308,580,90,362.825243473053,28091
309,600,90,405.64343452453613,32487
310,620,90,440.15593695640564,32283
311,640,90,483.1562707424164,32385
312,660,90,528.5939035415649,34554
313,680,90,580.1105408668518,38530
314,700,90,618.9962048530579,34767
315,20,100,0.16068124771118164,1194
316,40,100,0.5235996246337891,2309
317,60,100,1.250920295715332,3406
318,80,100,2.3530540466308594,4745
319,100,100,3.838294506072998,5662
320,120,100,5.757797002792358,6640
321,140,100,8.529635190963745,7191
322,160,100,12.524075508117676,9208
323,180,100,16.142918348312378,9493
324,200,100,21.352224826812744,11086
325,220,100,28.40661096572876,12204
326,240,100,34.667943477630615,12674
327,260,100,43.164323568344116,14892
328,280,100,53.31506133079529,14800
329,300,100,63.07689118385315,18234
330,320,100,75.77333545684814,18266
331,340,100,89.8993558883667,18673
332,360,100,104.59277677536011,20709
333,380,100,121.40071654319763,20799
334,400,100,142.7734091281891,22914
335,420,100,160.60927772521973,22898
336,440,100,182.04557394981384,24419
337,460,100,206.37629222869873,26768
338,480,100,233.84766244888306,24958
339,500,100,263.39558458328247,30698
340,520,100,296.8313856124878,27559
341,540,100,327.7153103351593,25816
342,560,100,369.85425877571106,29111
343,580,100,401.36912631988525,31758
344,600,100,444.70827770233154,34488
345,620,100,491.11425828933716,34019
346,640,100,546.4361114501953,33217
347,660,100,585.080157995224,34996
348,680,100,644.3968734741211,35949
349,700,100,704.1223142147064,42448
